Date,Inflation_Rate
1984-02-01,4.60
1985-02-01,3.50
1986-02-01,3.10
1987-02-01,2.10
1988-02-01,3.90
1989-02-01,4.80
1990-02-01,5.30
1991-02-01,5.30
1992-02-01,2.80
1993-02-01,3.20
1994-02-01,2.50
1995-02-01,2.90
1996-02-01,2.70
1997-02-01,3.00
1998-02-01,1.40
1999-02-01,1.60
2000-02-01,3.20
2001-02-01,3.50
2002-02-01,1.10
2003-02-01,3.00
2004-02-01,1.70
2005-02-01,3.00
2006-02-01,3.60
2007-02-01,2.40
2008-02-01,4.00
2009-02-01,0.20
2010-02-01,2.10
2011-02-01,2.10
2012-02-01,2.90
2013-02-01,2.00
2014-02-01,1.10
2015-02-01,0.00
2016-02-01,1.00
2017-02-01,2.70
2018-02-01,2.20
2019-02-01,1.50
2020-02-01,2.30
2021-02-01,1.70
2022-02-01,7.90
1914-03-01,1.00
1915-03-01,0.00
1916-03-01,6.10
1917-03-01,14.30
1918-03-01,16.70
1919-03-01,17.10
1920-03-01,20.10
1921-03-01,-7.10
1922-03-01,-8.70
1923-03-01,0.60
1924-03-01,1.80
1925-03-01,1.20
1926-03-01,2.90
1927-03-01,-2.80
1928-03-01,-1.20
1929-03-01,-0.60
1930-03-01,-0.60
1931-03-01,-7.70
1932-03-01,-10.30
1933-03-01,-10.00
1934-03-01,5.60
1935-03-01,3.00
1936-03-01,0.00
1937-03-01,3.60
1938-03-01,-0.70
1939-03-01,-1.40
1940-03-01,0.70
1941-03-01,1.40
1942-03-01,12.70
1943-03-01,7.50
1944-03-01,1.20
1945-03-01,2.30
1946-03-01,2.80
1947-03-01,19.70
1948-03-01,6.80
1949-03-01,1.70
1950-03-01,-0.80
1951-03-01,9.30
1952-03-01,1.90
1953-03-01,1.10
1954-03-01,1.10
1955-03-01,-0.70
1956-03-01,0.40
1957-03-01,3.70
1958-03-01,3.60
1959-03-01,0.30
1960-03-01,1.70
1961-03-01,1.40
1962-03-01,1.00
1963-03-01,1.30
1964-03-01,1.30
1965-03-01,1.30
1966-03-01,2.60
1967-03-01,2.80
1968-03-01,3.90
1969-03-01,5.20
1970-03-01,5.80
1971-03-01,4.70
1972-03-01,3.50
1973-03-01,4.60
1974-03-01,10.40
1975-03-01,10.30
1976-03-01,6.10
1977-03-01,6.40
1978-03-01,6.60
1979-03-01,10.10
1980-03-01,14.80
1981-03-01,10.50
1982-03-01,6.80
1983-03-01,3.60
1984-03-01,4.80
1985-03-01,3.70
1986-03-01,2.30
1987-03-01,3.00
1988-03-01,3.90
1989-03-01,5.00
1990-03-01,5.20
1991-03-01,4.90
1992-03-01,3.20
1993-03-01,3.10
1994-03-01,2.50
1995-03-01,2.90
1996-03-01,2.80
1997-03-01,2.80
1998-03-01,1.40
1999-03-01,1.70
2000-03-01,3.80
2001-03-01,2.90
2002-03-01,1.50
2003-03-01,3.00
2004-03-01,1.70
2005-03-01,3.10
2006-03-01,3.40
2007-03-01,2.80
2008-03-01,4.00
2009-03-01,-0.40
2010-03-01,2.30
2011-03-01,2.70
2012-03-01,2.70
2013-03-01,1.50
2014-03-01,1.50
2015-03-01,-0.10
2016-03-01,0.90
2017-03-01,2.40
2018-03-01,2.40
2019-03-01,1.90
2020-03-01,1.50
2021-03-01,2.60
1914-04-01,0.00
1915-04-01,2.00
1916-04-01,6.00
1917-04-01,18.90
1918-04-01,12.70
1919-04-01,17.60
1920-04-01,21.60
1921-04-01,-10.80
1922-04-01,-7.70
1923-04-01,1.20
1924-04-01,0.60
1925-04-01,1.20
1926-04-01,4.10
1927-04-01,-3.40
1928-04-01,-1.20
1929-04-01,-1.20
1930-04-01,0.60
1931-04-01,-8.80
1932-04-01,-10.30
1933-04-01,-9.40
1934-04-01,5.60
1935-04-01,3.80
1936-04-01,-0.70
1937-04-01,4.40
1938-04-01,-0.70
1939-04-01,-2.80
1940-04-01,1.40
1941-04-01,2.10
1942-04-01,12.60
1943-04-01,8.10
1944-04-01,0.60
1945-04-01,1.70
1946-04-01,3.40
1947-04-01,19.00
1948-04-01,8.70
1949-04-01,0.40
1950-04-01,-1.30
1951-04-01,9.30
1952-04-01,2.30
1953-04-01,0.80
1954-04-01,0.80
1955-04-01,-0.40
1956-04-01,0.70
1957-04-01,3.70
1958-04-01,3.60
1959-04-01,0.30
1960-04-01,1.70
1961-04-01,1.00
1962-04-01,1.30
1963-04-01,1.00
1964-04-01,1.30
1965-04-01,1.60
1966-04-01,2.90
1967-04-01,2.50
1968-04-01,3.90
1969-04-01,5.50
1970-04-01,6.10
1971-04-01,4.20
1972-04-01,3.50
1973-04-01,5.10
1974-04-01,10.10
1975-04-01,10.20
1976-04-01,6.00
1977-04-01,7.00
1978-04-01,6.50
1979-04-01,10.50
1980-04-01,14.70
1981-04-01,10.00
1982-04-01,6.50
1983-04-01,3.90
1984-04-01,4.60
1985-04-01,3.70
1986-04-01,1.60
1987-04-01,3.80
1988-04-01,3.90
1989-04-01,5.10
1990-04-01,4.70
1991-04-01,4.90
1992-04-01,3.20
1993-04-01,3.20
1994-04-01,2.40
1995-04-01,3.10
1996-04-01,2.90
1997-04-01,2.50
1998-04-01,1.40
1999-04-01,2.30
2000-04-01,3.10
2001-04-01,3.30
2002-04-01,1.60
2003-04-01,2.20
2004-04-01,2.30
2005-04-01,3.50
2006-04-01,3.50
2007-04-01,2.60
2008-04-01,3.90
2009-04-01,-0.70
2010-04-01,2.20
2011-04-01,3.20
2012-04-01,2.30
2013-04-01,1.10
2014-04-01,2.00
2015-04-01,-0.20
2016-04-01,1.10
2017-04-01,2.20
2018-04-01,2.50
2019-04-01,2.00
2020-04-01,0.30
2021-04-01,4.20
1914-05-01,2.10
1915-05-01,2.00
1916-05-01,5.90
1917-05-01,19.60
1918-05-01,13.30
1919-05-01,16.60
1920-05-01,21.90
1921-05-01,-14.10
1922-05-01,-5.60
1923-05-01,1.20
1924-05-01,0.60
1925-05-01,1.80
1926-05-01,2.90
1927-05-01,-2.20
1928-05-01,-1.10
1929-05-01,-1.20
1930-05-01,-0.60
1931-05-01,-9.50
1932-05-01,-10.50
1933-05-01,-8.00
1934-05-01,5.60
1935-05-01,3.80
1936-05-01,-0.70
1937-05-01,5.10
1938-05-01,-2.10
1939-05-01,-2.10
1940-05-01,1.40
1941-05-01,2.90
1942-05-01,13.20
1943-05-01,7.40
1944-05-01,0.00
1945-05-01,2.30
1946-05-01,3.40
1947-05-01,18.40
1948-05-01,9.10
1949-05-01,-0.40
1950-05-01,-0.40
1951-05-01,9.30
1952-05-01,1.90
1953-05-01,1.10
1954-05-01,0.70
1955-05-01,-0.70
1956-05-01,1.10
1957-05-01,3.70
1958-05-01,3.20
1959-05-01,0.30
1960-05-01,1.70
1961-05-01,1.00
1962-05-01,1.30
1963-05-01,1.00
1964-05-01,1.30
1965-05-01,1.60
1966-05-01,2.90
1967-05-01,2.80
1968-05-01,3.90
1969-05-01,5.50
1970-05-01,6.00
1971-05-01,4.40
1972-05-01,3.20
1973-05-01,5.50
1974-05-01,10.70
1975-05-01,9.50
1976-05-01,6.20
1977-05-01,6.70
1978-05-01,7.00
1979-05-01,10.90
1980-05-01,14.40
1981-05-01,9.80
1982-05-01,6.70
1983-05-01,3.50
1984-05-01,4.20
1985-05-01,3.80
1986-05-01,1.50
1987-05-01,3.90
1988-05-01,3.90
1989-05-01,5.40
1990-05-01,4.40
1991-05-01,5.00
1992-05-01,3.00
1993-05-01,3.20
1994-05-01,2.30
1995-05-01,3.20
1996-05-01,2.90
1997-05-01,2.20
1998-05-01,1.70
1999-05-01,2.10
2000-05-01,3.20
2001-05-01,3.60
2002-05-01,1.20
2003-05-01,2.10
2004-05-01,3.10
2005-05-01,2.80
2006-05-01,4.20
2007-05-01,2.70
2008-05-01,4.20
2009-05-01,-1.30
2010-05-01,2.00
2011-05-01,3.60
2012-05-01,1.70
2013-05-01,1.40
2014-05-01,2.10
2015-05-01,0.00
2016-05-01,1.00
2017-05-01,1.90
2018-05-01,2.80
2019-05-01,1.80
2020-05-01,0.10
2021-05-01,5.00
1914-06-01,1.00
1915-06-01,2.00
1916-06-01,6.90
1917-06-01,20.40
1918-06-01,13.10
1919-06-01,15.00
1920-06-01,23.70
1921-06-01,-15.80
1922-06-01,-5.10
1923-06-01,1.80
1924-06-01,0.00
1925-06-01,2.90
1926-06-01,1.10
1927-06-01,-0.60
1928-06-01,-2.80
1929-06-01,0.00
1930-06-01,-1.80
1931-06-01,-10.10
1932-06-01,-9.90
1933-06-01,-6.60
1934-06-01,5.50
1935-06-01,2.20
1936-06-01,0.70
1937-06-01,4.30
1938-06-01,-2.10
1939-06-01,-2.10
1940-06-01,2.20
1941-06-01,4.30
1942-06-01,10.90
1943-06-01,7.40
1944-06-01,0.60
1945-06-01,2.80
1946-06-01,3.30
1947-06-01,17.60
1948-06-01,9.50
1949-06-01,-0.80
1950-06-01,-0.40
1951-06-01,8.80
1952-06-01,2.30
1953-06-01,1.10
1954-06-01,0.40
1955-06-01,-0.70
1956-06-01,1.90
1957-06-01,3.30
1958-06-01,2.80
1959-06-01,0.70
1960-06-01,1.70
1961-06-01,0.70
1962-06-01,1.30
1963-06-01,1.30
1964-06-01,1.30
1965-06-01,1.90
1966-06-01,2.50
1967-06-01,2.80
1968-06-01,4.20
1969-06-01,5.50
1970-06-01,6.00
1971-06-01,4.60
1972-06-01,2.70
1973-06-01,6.00
1974-06-01,10.90
1975-06-01,9.40
1976-06-01,6.00
1977-06-01,6.90
1978-06-01,7.40
1979-06-01,10.90
1980-06-01,14.40
1981-06-01,9.60
1982-06-01,7.10
1983-06-01,2.60
1984-06-01,4.20
1985-06-01,3.80
1986-06-01,1.80
1987-06-01,3.70
1988-06-01,4.00
1989-06-01,5.20
1990-06-01,4.70
1991-06-01,4.70
1992-06-01,3.10
1993-06-01,3.00
1994-06-01,2.50
1995-06-01,3.00
1996-06-01,2.80
1997-06-01,2.30
1998-06-01,1.70
1999-06-01,2.00
2000-06-01,3.70
2001-06-01,3.20
2002-06-01,1.10
2003-06-01,2.10
2004-06-01,3.30
2005-06-01,2.50
2006-06-01,4.30
2007-06-01,2.70
2008-06-01,5.00
2009-06-01,-1.40
2010-06-01,1.10
2011-06-01,3.60
2012-06-01,1.70
2013-06-01,1.80
2014-06-01,2.10
2015-06-01,0.10
2016-06-01,1.00
2017-06-01,1.60
2018-06-01,2.90
2019-06-01,1.60
2020-06-01,0.60
2021-06-01,5.40
1914-07-01,1.00
1915-07-01,1.00
1916-07-01,6.90
1917-07-01,18.50
1918-07-01,18.00
1919-07-01,15.20
1920-07-01,19.50
1921-07-01,-14.90
1922-07-01,-5.10
1923-07-01,2.40
1924-07-01,-0.60
1925-07-01,3.50
1926-07-01,-1.10
1927-07-01,-1.10
1928-07-01,-1.20
1929-07-01,1.20
1930-07-01,-4.00
1931-07-01,-9.00
1932-07-01,-9.90
1933-07-01,-3.70
1934-07-01,2.30
1935-07-01,2.20
1936-07-01,1.50
1937-07-01,4.30
1938-07-01,-2.80
1939-07-01,-2.10
1940-07-01,1.40
1941-07-01,5.00
1942-07-01,11.60
1943-07-01,6.10
1944-07-01,1.70
1945-07-01,2.30
1946-07-01,9.40
1947-07-01,12.10
1948-07-01,9.90
1949-07-01,-2.90
1950-07-01,1.70
1951-07-01,7.50
1952-07-01,3.10
1953-07-01,0.40
1954-07-01,0.40
1955-07-01,-0.40
1956-07-01,2.20
1957-07-01,3.30
1958-07-01,2.50
1959-07-01,0.70
1960-07-01,1.40
1961-07-01,1.40
1962-07-01,1.00
1963-07-01,1.30
1964-07-01,1.30
1965-07-01,1.60
1966-07-01,2.80
1967-07-01,2.80
1968-07-01,4.50
1969-07-01,5.40
1970-07-01,6.00
1971-07-01,4.40
1972-07-01,2.90
1973-07-01,5.70
1974-07-01,11.50
1975-07-01,9.70
1976-07-01,5.40
1977-07-01,6.80
1978-07-01,7.70
1979-07-01,11.30
1980-07-01,13.10
1981-07-01,10.80
1982-07-01,6.40
1983-07-01,2.50
1984-07-01,4.20
1985-07-01,3.60
1986-07-01,1.60
1987-07-01,3.90
1988-07-01,4.10
1989-07-01,5.00
1990-07-01,4.80
1991-07-01,4.40
1992-07-01,3.20
1993-07-01,2.80
1994-07-01,2.80
1995-07-01,2.80
1996-07-01,3.00
1997-07-01,2.20
1998-07-01,1.70
1999-07-01,2.10
2000-07-01,3.70
2001-07-01,2.70
2002-07-01,1.50
2003-07-01,2.10
2004-07-01,3.00
2005-07-01,3.20
2006-07-01,4.10
2007-07-01,2.40
2008-07-01,5.60
2009-07-01,-2.10
2010-07-01,1.20
2011-07-01,3.60
2012-07-01,1.40
2013-07-01,2.00
2014-07-01,2.00
2015-07-01,0.20
2016-07-01,0.80
2017-07-01,1.70
2018-07-01,2.90
2019-07-01,1.80
2020-07-01,1.00
2021-07-01,5.40
1914-08-01,3.00
1915-08-01,-1.00
1916-08-01,7.90
1917-08-01,19.30
1918-08-01,18.50
1919-08-01,14.90
1920-08-01,14.70
1921-08-01,-12.80
1922-08-01,-6.20
1923-08-01,3.00
1924-08-01,-0.60
1925-08-01,4.10
1926-08-01,-1.70
1927-08-01,-1.10
1928-08-01,-0.60
1929-08-01,1.20
1930-08-01,-4.60
1931-08-01,-8.50
1932-08-01,-10.60
1933-08-01,-2.20
1934-08-01,1.50
1935-08-01,2.20
1936-08-01,2.20
1937-08-01,3.60
1938-08-01,-2.80
1939-08-01,-2.10
1940-08-01,1.40
1941-08-01,6.40
1942-08-01,10.70
1943-08-01,4.80
1944-08-01,2.30
1945-08-01,2.30
1946-08-01,11.60
1947-08-01,11.40
1948-08-01,8.90
1949-08-01,-2.90
1950-08-01,2.10
1951-08-01,6.60
1952-08-01,3.10
1953-08-01,0.70
1954-08-01,0.00
1955-08-01,-0.40
1956-08-01,1.90
1957-08-01,3.70
1958-08-01,2.10
1959-08-01,1.00
1960-08-01,1.40
1961-08-01,1.00
1962-08-01,1.30
1963-08-01,1.30
1964-08-01,1.00
1965-08-01,1.90
1966-08-01,3.50
1967-08-01,2.40
1968-08-01,4.50
1969-08-01,5.70
1970-08-01,5.40
1971-08-01,4.60
1972-08-01,2.90
1973-08-01,7.40
1974-08-01,10.90
1975-08-01,8.60
1976-08-01,5.70
1977-08-01,6.60
1978-08-01,7.80
1979-08-01,11.80
1980-08-01,12.90
1981-08-01,10.80
1982-08-01,5.90
1983-08-01,2.60
1984-08-01,4.30
1985-08-01,3.30
1986-08-01,1.60
1987-08-01,4.30
1988-08-01,4.00
1989-08-01,4.70
1990-08-01,5.60
1991-08-01,3.80
1992-08-01,3.10
1993-08-01,2.80
1994-08-01,2.90
1995-08-01,2.60
1996-08-01,2.90
1997-08-01,2.20
1998-08-01,1.60
1999-08-01,2.30
2000-08-01,3.40
2001-08-01,2.70
2002-08-01,1.80
2003-08-01,2.20
2004-08-01,2.70
2005-08-01,3.60
2006-08-01,3.80
2007-08-01,2.00
2008-08-01,5.40
2009-08-01,-1.50
2010-08-01,1.10
2011-08-01,3.80
2012-08-01,1.70
2013-08-01,1.50
2014-08-01,1.70
2015-08-01,0.20
2016-08-01,1.10
2017-08-01,1.90
2018-08-01,2.70
2019-08-01,1.70
2020-08-01,1.30
2021-08-01,5.30
1914-09-01,2.00
1915-09-01,-1.00
1916-09-01,9.90
1917-09-01,19.80
1918-09-01,18.00
1919-09-01,13.40
1920-09-01,12.40
1921-09-01,-12.50
1922-09-01,-5.10
1923-09-01,3.60
1924-09-01,-0.60
1925-09-01,3.50
1926-09-01,-1.10
1927-09-01,-1.10
1928-09-01,0.00
1929-09-01,0.00
1930-09-01,-4.00
1931-09-01,-9.60
1932-09-01,-10.70
1933-09-01,-1.50
1934-09-01,3.00
1935-09-01,0.70
1936-09-01,2.20
1937-09-01,4.30
1938-09-01,-3.40
1939-09-01,0.00
1940-09-01,-0.70
1941-09-01,7.90
1942-09-01,9.30
1943-09-01,5.50
1944-09-01,1.70
1945-09-01,2.30
1946-09-01,12.70
1947-09-01,12.70
1948-09-01,6.50
1949-09-01,-2.40
1950-09-01,2.10
1951-09-01,7.00
1952-09-01,2.30
1953-09-01,0.70
1954-09-01,-0.40
1955-09-01,0.40
1956-09-01,1.90
1957-09-01,3.30
1958-09-01,2.10
1959-09-01,1.40
1960-09-01,1.00
1961-09-01,1.40
1962-09-01,1.30
1963-09-01,1.00
1964-09-01,1.30
1965-09-01,1.60
1966-09-01,3.50
1967-09-01,2.80
1968-09-01,4.50
1969-09-01,5.70
1970-09-01,5.70
1971-09-01,4.10
1972-09-01,3.20
1973-09-01,7.40
1974-09-01,11.90
1975-09-01,7.90
1976-09-01,5.50
1977-09-01,6.60
1978-09-01,8.30
1979-09-01,12.20
1980-09-01,12.60
1981-09-01,11.00
1982-09-01,5.00
1983-09-01,2.90
1984-09-01,4.30
1985-09-01,3.10
1986-09-01,1.80
1987-09-01,4.40
1988-09-01,4.20
1989-09-01,4.30
1990-09-01,6.20
1991-09-01,3.40
1992-09-01,3.00
1993-09-01,2.70
1994-09-01,3.00
1995-09-01,2.50
1996-09-01,3.00
1997-09-01,2.20
1998-09-01,1.50
1999-09-01,2.60
2000-09-01,3.50
2001-09-01,2.60
2002-09-01,1.50
2003-09-01,2.30
2004-09-01,2.50
2005-09-01,4.70
2006-09-01,2.10
2007-09-01,2.80
2008-09-01,4.90
2009-09-01,-1.30
2010-09-01,1.10
2011-09-01,3.90
2012-09-01,2.00
2013-09-01,1.20
2014-09-01,1.70
2015-09-01,0.00
2016-09-01,1.50
2017-09-01,2.20
2018-09-01,2.30
2019-09-01,1.70
2020-09-01,1.40
2021-09-01,5.40
1914-10-01,1.00
1915-10-01,1.00
1916-10-01,10.80
1917-10-01,19.50
1918-10-01,18.50
1919-10-01,13.10
1920-10-01,9.90
1921-10-01,-12.10
1922-10-01,-4.60
1923-10-01,3.60
1924-10-01,-0.60
1925-10-01,2.90
1926-10-01,-0.60
1927-10-01,-1.10
1928-10-01,-1.10
1929-10-01,0.60
1930-10-01,-4.60
1931-10-01,-9.70
1932-10-01,-10.70
1933-10-01,-0.80
1934-10-01,2.30
1935-10-01,1.50
1936-10-01,2.20
1937-10-01,4.30
1938-10-01,-4.10
1939-10-01,0.00
1940-10-01,0.00
1941-10-01,9.30
1942-10-01,9.20
1943-10-01,4.20
1944-10-01,1.70
1945-10-01,2.30
1946-10-01,14.90
1947-10-01,10.60
1948-10-01,6.10
1949-10-01,-2.90
1950-10-01,3.80
1951-10-01,6.50
1952-10-01,1.90
1953-10-01,1.10
1954-10-01,-0.70
1955-10-01,0.40
1956-10-01,2.20
1957-10-01,2.90
1958-10-01,2.10
1959-10-01,1.70
1960-10-01,1.40
1961-10-01,0.70
1962-10-01,1.30
1963-10-01,1.30
1964-10-01,1.00
1965-10-01,1.90
1966-10-01,3.80
1967-10-01,2.40
1968-10-01,4.70
1969-10-01,5.70
1970-10-01,5.60
1971-10-01,3.80
1972-10-01,3.40
1973-10-01,7.80
1974-10-01,12.10
1975-10-01,7.40
1976-10-01,5.50
1977-10-01,6.40
1978-10-01,8.90
1979-10-01,12.10
1980-10-01,12.80
1981-10-01,10.10
1982-10-01,5.10
1983-10-01,2.90
1984-10-01,4.30
1985-10-01,3.20
1986-10-01,1.50
1987-10-01,4.50
1988-10-01,4.20
1989-10-01,4.50
1990-10-01,6.30
1991-10-01,2.90
1992-10-01,3.20
1993-10-01,2.80
1994-10-01,2.60
1995-10-01,2.80
1996-10-01,3.00
1997-10-01,2.10
1998-10-01,1.50
1999-10-01,2.60
2000-10-01,3.40
2001-10-01,2.10
2002-10-01,2.00
2003-10-01,2.00
2004-10-01,3.20
2005-10-01,4.30
2006-10-01,1.30
2007-10-01,3.50
2008-10-01,3.70
2009-10-01,-0.20
2010-10-01,1.20
2011-10-01,3.50
2012-10-01,2.20
2013-10-01,1.00
2014-10-01,1.70
2015-10-01,0.20
2016-10-01,1.60
2017-10-01,2.00
2018-10-01,2.50
2019-10-01,1.80
2020-10-01,1.20
2021-10-01,6.20
1914-11-01,1.00
1915-11-01,1.00
1916-11-01,11.70
1917-11-01,17.40
1918-11-01,20.70
1919-11-01,13.50
1920-11-01,7.00
1921-11-01,-12.10
1922-11-01,-3.40
1923-11-01,3.00
1924-11-01,-0.60
1925-11-01,4.70
1926-11-01,-1.70
1927-11-01,-2.30
1928-11-01,-0.60
1929-11-01,0.60
1930-11-01,-5.20
1931-11-01,-10.40
1932-11-01,-10.20
1933-11-01,0.00
1934-11-01,2.30
1935-11-01,2.20
1936-11-01,1.40
1937-11-01,3.60
1938-11-01,-3.40
1939-11-01,0.00
1940-11-01,0.00
1941-11-01,10.00
1942-11-01,9.10
1943-11-01,3.60
1944-11-01,1.70
1945-11-01,2.30
1946-11-01,17.70
1947-11-01,8.50
1948-11-01,4.80
1949-11-01,-1.70
1950-11-01,3.80
1951-11-01,6.90
1952-11-01,1.10
1953-11-01,0.70
1954-11-01,-0.40
1955-11-01,0.40
1956-11-01,2.20
1957-11-01,3.30
1958-11-01,2.10
1959-11-01,1.40
1960-11-01,1.40
1961-11-01,0.70
1962-11-01,1.30
1963-11-01,1.30
1964-11-01,1.30
1965-11-01,1.60
1966-11-01,3.80
1967-11-01,2.70
1968-11-01,4.70
1969-11-01,5.90
1970-11-01,5.60
1971-11-01,3.30
1972-11-01,3.70
1973-11-01,8.30
1974-11-01,12.20
1975-11-01,7.40
1976-11-01,4.90
1977-11-01,6.70
1978-11-01,8.90
1979-11-01,12.60
1980-11-01,12.60
1981-11-01,9.60
1982-11-01,4.60
1983-11-01,3.30
1984-11-01,4.10
1985-11-01,3.50
1986-11-01,1.30
1987-11-01,4.50
1988-11-01,4.20
1989-11-01,4.70
1990-11-01,6.30
1991-11-01,3.00
1992-11-01,3.00
1993-11-01,2.70
1994-11-01,2.70
1995-11-01,2.60
1996-11-01,3.30
1997-11-01,1.80
1998-11-01,1.50
1999-11-01,2.60
2000-11-01,3.40
2001-11-01,1.90
2002-11-01,2.20
2003-11-01,1.80
2004-11-01,3.50
2005-11-01,3.50
2006-11-01,2.00
2007-11-01,4.30
2008-11-01,1.10
2009-11-01,1.80
2010-11-01,1.10
2011-11-01,3.40
2012-11-01,1.80
2013-11-01,1.20
2014-11-01,1.30
2015-11-01,0.50
2016-11-01,1.70
2017-11-01,2.20
2018-11-01,2.20
2019-11-01,2.10
2020-11-01,1.20
2021-11-01,6.80
1914-12-01,1.00
1915-12-01,2.00
1916-12-01,12.60
1917-12-01,18.10
1918-12-01,20.40
1919-12-01,14.50
1920-12-01,2.60
1921-12-01,-10.80
1922-12-01,-2.30
1923-12-01,2.40
1924-12-01,0.00
1925-12-01,3.50
1926-12-01,-1.10
1927-12-01,-2.30
1928-12-01,-1.20
1929-12-01,0.60
1930-12-01,-6.40
1931-12-01,-9.30
1932-12-01,-10.30
1933-12-01,0.80
1934-12-01,1.50
1935-12-01,3.00
1936-12-01,1.40
1937-12-01,2.90
1938-12-01,-2.80
1939-12-01,0.00
1940-12-01,0.70
1941-12-01,9.90
1942-12-01,9.00
1943-12-01,3.00
1944-12-01,2.30
1945-12-01,2.20
1946-12-01,18.10
1947-12-01,8.80
1948-12-01,3.00
1949-12-01,-2.10
1950-12-01,5.90
1951-12-01,6.00
1952-12-01,0.80
1953-12-01,0.70
1954-12-01,-0.70
1955-12-01,0.40
1956-12-01,3.00
1957-12-01,2.90
1958-12-01,1.80
1959-12-01,1.70
1960-12-01,1.40
1961-12-01,0.70
1962-12-01,1.30
1963-12-01,1.60
1964-12-01,1.00
1965-12-01,1.90
1966-12-01,3.50
1967-12-01,3.00
1968-12-01,4.70
1969-12-01,6.20
1970-12-01,5.60
1971-12-01,3.30
1972-12-01,3.40
1973-12-01,8.70
1974-12-01,12.30
1975-12-01,6.90
1976-12-01,4.90
1977-12-01,6.70
1978-12-01,9.00
